Type,Word,Pinyin,Meaning,Note
EN,remarkably,,đáng chú ý; xuất sắc,adv
EN,scale model (= miniature),,mô hình thu nhỏ,phr
EN,squeaking sound,,tiếng kêu cót két,phr
EN,wearable,,mặc được; thích hợp để mặc,adj
EN,workbench,,bàn thợ,n
EN,adapted,,thích nghi; phù hợp,adj
EN,automatically,,tự động,adv
EN,carelessly,,sự cẩu thả; bất cẩn,adv
EN,combustible,,dễ cháy; bồng bột,adj
EN,evidently,,hiển nhiên; rõ ràng,adv
EN,fitted,,vừa vặn; cố định,adj
EN,priced,,có giá; có ghi giá,adj
EN,reform,,sự cải cách,n
EN,representation,,sự đại diện; sự tượng trưng,n
EN,technically,,về mặt kỹ thuật; về mặt lý thuyết,adv
EN,technician,,nhân viên kỹ thuật,n
EN,adversely,,bất lợi,adv
EN,agricultural,,thuộc nông nghiệp,adj
EN,artificial,,nhân tạo; giả,adj
EN,be irrelevant to,,không liên quan tới,phr
EN,crude,,nguyên; thô; chưa qua xử lý,adj
EN,crude oil,,dầu thô,phr
EN,custom-made,,được đặt làm; thiết kế riêng,adj
EN,downsize,,cắt giảm (nhân sự),v
EN,gadget,,đồ dùng; dụng cụ,n
EN,gem,,đá quý,n
EN,generator,,máy phát điện,n
EN,grease,,mỡ; dầu mỡ,n
EN,identically,,tương tự; y hệt,adv
EN,in the event of,,trong trường hợp,phr
EN,in the process of,,trong quá trình,phr
EN,upon-ing,,ngay khi,phr
EN,wear and tear,,khấu hao; hao mòn,phr
EN,come apart,,tan rã; đổ vỡ,phr
EN,flow chart,,lưu đồ; sơ đồ luồng,phr
EN,production quota,,chỉ tiêu/định mức sản suất,phr
EN,tie up,,thắt chặt; chốt lại,phr
EN,void,,chỗ trống; chân không,n
EN,discontinue,,ngừng,v
EN,halt,,sự tạm nghỉ; nghỉ chân,n
EN,occurrence,,sự xảy ra,n
EN,operating,,thuộc về điều hành; vận hành,adj
EN,predicted,,được đoán trước; tiên đoán,adj
EN,welding,,kỹ thuật hàn,n
EN,arable,,trồng trọt được (đất),adj
EN,broadly,,rộng rãi; đại khái,adv
EN,continuity,,sự tiếp tục; tính liên tục,n
EN,disassemble,,tháo rời,v
EN,excavation,,sự khai quật,n
EN,fabricate,,bịa đặt; làm giả,v
EN,involuntarily,,không cố ý; vô tình,adv
EN,liquidity,,tỉnh thanh khoản,n
EN,nimble,,nhanh nhẹn; lanh lợi,adj
EN,obfuscate,,gây khó hiểu; làm bối rối,v
EN,pertinent,,đúng chỗ; phù hợp,adj
EN,application form,,mẫu đơn xin việc,phr
EN,career,,sự nghiệp; nghề nghiệp,n
EN,completion,,sự hoàn thành,n
EN,fair,,công bằng; hợp lý,adj
EN,graduation,,sự tốt nghiệp,n
EN,in fact,,trong thực tế,phr
EN,job fair,,hội chợ việc làm,phr
EN,job offer,,lời mời làm việc,phr
EN,list,,danh sách; v liệt kê,n
EN,newcomer,,người mới đến; nhân viên mới,n
EN,part-time,,bán thời gian,adj
EN,previous job,,công việc trước đây,phr
EN,secretary,,thư ký,n
EN,send in,,nộp; giao,phr
EN,tidy,,gọn gàng; ngăn nắp,adj
EN,trainee,,thực tập sinh; người được đào tạo,n
EN,apply for,,ứng tuyển vào,phr
EN,aptitude,,năng khiếu; năng lực,n
EN,be admitted to,,được nhận vào,phr
EN,be advised to do,,được khuyên làm,phr
EN,criteria,,tiêu chuẩn (dạng số nhiều của criterion),n
EN,decade,,thập kỷ,n
EN,employ,,thuê; mướn,v
EN,insufficient,,không đủ; thiếu,adj
EN,minimum,,mức tối thiểu,n
EN,party,,bữa tiệc; nhóm; tổ chức,n
EN,plentiful,,dồi dào,adj
EN,profession,,nghề nghiệp,n
EN,achieve one's goal,,đạt mục tiêu của ai đó,phr
EN,apprentice,,người học việc; người tập sự,n
EN,dress formally,,ăn mặc trang trọng,phr
EN,dressed in suit,,mặc vest; com lê,phr
EN,figure out,,tìm ra; phát hiện ra,phr
EN,full time work,,công việc toàn thời gian,phr
EN,job opportunity,,cơ hội việc làm,phr
EN,job search,,sự tìm việc làm,phr
EN,job seeker,,người tìm việc,phr
EN,lay out,,đặt ra; bày ra,phr
EN,letter of recommendation,,thư giới thiệu,phr
EN,pay raise,,sự tăng lương,phr
EN,practical experience,,kinh nghiệm thực tế,phr
EN,proof of employment,,bằng chứng công việc,phr
EN,reapply,,ứng tuyển lại; áp dụng lại,v
EN,recommendation letter.,,thư giới thiệu; thư tiến cử,phr
EN,reference letter,,thư giới thiệu; thư xác nhận,phr
EN,send off to,,gửi (thư) tới,phr
EN,set up an interview,,sắp xếp phỏng vấn,phr
EN,take an examination,,làm bài kiểm tra,phr
EN,training center,,trung tâm đào tạo,phr
EN,waiting room,,phòng chờ,phr
EN,well-educated,,có học thức; được giáo dục tốt,adj
EN,workstation,,chỗ ngồi (để làm việc),v
EN,zealous,,hãng hải; nhiệt huyết,adj
EN,cover letter,,đơn xin việc,phr
EN,devoted,,hết lòng; tận tâm,adj
EN,energetic,,tràn đầy năng lượng; năng động,adj
EN,enthusiastic,,nhiệt tình,adj
EN,excel,,trội hơn; xuất sắc hơn,v
EN,exclude,,ngoại trừ; không bao gồm,v
EN,fluently,,một cách trôi chảy,adv
EN,get through,,vượt qua; đỗ,phr
EN,match,,hợp với; xứng với,v
EN,necessity,,sự cần thiết; điều bắt buộc,n
EN,qualification,,năng lực chuyên môn; bằng cấp,n
EN,relevant,,có liên quan; thích hợp,adj
EN,sign up for,,đăng ký,phr
EN,talented,,có tài,adj
EN,visiting,,sự thăm viếng - thăm viếng; tham quan,n
EN,workforce,,lực lượng lao động,n
EN,address the audience,,giao lưu với khán giả,phr
EN,be influenced by appearance,,bị chi phối bởi vẻ ngoài,phr
EN,bilingual,,song ngữ,adj
EN,curriculum vitae,,sơ yếu lý lịch,phr
EN,diploma,,bằng tốt nghiệp,n
EN,endurance,,sự chịu đựng; khả năng chịu đựng,n
EN,external,,bên ngoài,adj
EN,fluency,,sự lưu loát; trôi chảy,n
EN,fluent in,,thành thạo về,phr
EN,human resources,,quản lý nhân lực; nhân sự,phr
EN,improperly,,không đúng cách; không thích,adv
EN,in a positive manner,,theo một cách tích cực,phr
EN,in the field of,,trong lĩnh vực,phr
EN,inexperience,,sự thiếu kinh nghiệm,n
EN,lack confidence,,thiếu sự tự tin,phr
EN,make A a regular habit,,biến A thành thói quen thường xuyên,phr
EN,make a commitment to,,đưa ra cam kết; gắn bó với,phr
EN,make a point of -ing,,quan tâm; tận tâm với (việc gì),phr
EN,manpower,,nhân lực,n
EN,master's degree,,bằng thạc sĩ,phr
EN,novice,,người học việc; tập sự,n
EN,paycheck,,tiền lương; tiền công,n
EN,self-motivation,,sự tự tạo động lực cho bản thân,n
EN,send a notification,,gửi thông báo,phr
EN,vacancy,,vị trí còn trống,n
EN,wanted,,được cần đến; được yêu cầu,adj
EN,work history,,lịch sử làm việc; kinh nghiệm làm việc,phr
EN,credential,,thông tin xác thực; giấy chứng nhận,n
EN,firsthand,,trực tiếp; mắt thấy tai nghe,adj
EN,hiring committee,,hội đồng tuyển dụng,phr
EN,not to mention,,không đề cập đến,phr
EN,on occasion,,nhân dịp,phr
EN,overqualified,,có thừa năng lực; trình độ,adj
EN,screening,,sự sàng lọc; sự phân loại,n
EN,lag,,chậm trễ,v
EN,on the waiting list,,trong danh sách chờ,phr
EN,oriented,,được định hướng,adv
EN,pertaining to,,gắn liền; đi đôi với,phr
EN,questionably,,đáng ngờ; có vấn đề,adv
EN,regularity,,sự đều đặn; thường xuyên,n
EN,replenish,,cấp thêm; bổ sung,v
EN,simplicity,,sự đơn giản,n
EN,stellar,,xuất sắc; ưu tú,adj
EN,versatile,,nhiều tài; linh hoạt,adj
EN,adept,,thành thạo; tinh thông,adj
EN,against all odds,,bất chấp sự chống đối mạnh mẽ mọi điều kiện bất lợi,phr
EN,command,,lệnh; sự điều khiển; sự chỉ huy,n
EN,commensurate,,tỷ lệ thuận; xứng với,adj
EN,computer literate,,biết sử dụng máy tính,phr
EN,eagerness,,sự say mê; sự háo hức,n
EN,familiarize oneself with,,tự tìm hiểu; tự làm quen với,phr
EN,increment,,sự tăng dần,n
EN,interpersonal skills,,các kỹ năng liên nhân,phr
EN,mindful,,lưu tâm; quan tâm,adj
EN,preeminent,,xuất sắc; ưu việt; vượt trội,adj
EN,preliminary,,sơ bộ; mở đầu,adj
EN,prerequisite,,điều kiện tiên quyết,n
EN,probationer,,nhân viên tập sự; người bị quản chế,n
EN,sternly,,nghiêm khắc; cứng rắn,adv
EN,bend over,,cúi xuống,phr
EN,by oneself,,tự mình,phr
EN,date,,ngày,n
EN,get used to,,quen với,phr
EN,if it's okay with you,,nếu bạn thấy ổn,phr
EN,in case of,,trong trường hợp; nếu như vậy,phr
EN,in rows,,xếp hàng; thành nhiều hàng,phr
EN,item,,món; mục; mặt hàng,n
EN,legal,,hợp pháp,adj
EN,let go,,buông bỏ,phr
EN,ruler,,người cai trị; bá chủ,n
EN,stop,,dừng lại; ngừng lại,v
EN,busy,,bận rộn,adj
EN,curriculum,,chương trình giảng dạy,n
EN,dress,,váy; đầm; mặc quần áo,n
EN,enough,,sự đủ dùng,n
EN,finish,,kết thúc; hoàn thành,v
EN,have a problem (in) -ing,,có vấn đề trong việc,phr
EN,observance,,sự tuân thủ,n
EN,on-site,,tại chỗ,adj
EN,penalty,,hình phạt,n
EN,pointed,,sắc bén; được nhằm vào; được nhấn mạnh,adj
EN,precious,,quý giá; quý báu,adj
EN,principle,,nguyên tắc,n
EN,punishment,,sự trừng phạt,n
EN,regulate,,chỉnh đốn; điều chỉnh,v
EN,restricted area,,khu vực giới hạn,phr
EN,restriction,,sự hạn chế,n
EN,safety inspection,,kiểm tra an toàn,phr
EN,suppress,,cấm; chặn; ngăn cản,v
EN,tensely,,căng thẳng,adv
EN,unauthorized,,không được phép,adj
EN,with respect to,,liên quan đến; trong mối quan hệ với,phr
EN,accuse,,cáo buộc; buộc tội,v
EN,assess,,đánh giá,v
EN,attorney,,luật sư; người được ủy quyền,n
EN,be absent from,,vắng mặt,phr
EN,be allowed to do,,được phép làm,phr
EN,by way of,,bằng cách; như là một cách,phr
EN,distrust,,nghi ngờ,v
EN,commonplace,,điều bình thường; chuyện thường,n
EN,protective smock,,áo bảo hộ,phr
EN,testimony,,sự chứng nhận; bằng chứng,n
EN,accordance,,sự phù hợp,n
EN,compel,,bắt buộc; thúc ép,v
EN,crucial,,cốt yếu; chủ yếu,adj
EN,effortlessly,,dễ dàng,adv
EN,in observance of,,tuân theo (quy tắc; luật lệ),phr
EN,inadvertently,,tình cờ; không cố ý,adv
EN,judicial,,thuộc tòa án; do tòa xét xử,adj
EN,keenly,,sắc sảo; hãng hải,adv
EN,lawsuit,,việc kiện cáo; vụ kiện,n
EN,off-limits,,bị cấm không được lui tới,adj
EN,ordinance,,sắc lệnh; quy định,n
EN,pulled,,bị rút lại,adj
EN,punctuality,,sự đúng giờ,n
EN,reprimand,,khiển trách; quở trách,v
EN,resolution,,nghị quyết; sự quyết tâm,n
EN,stiff,,cứng nhắc; không linh động,adj
EN,substantiate,,chứng minh,v
EN,trespass,,xâm phạm; xâm lấn,v
EN,violate,,vi phạm; xâm phạm,v
EN,at the discretion of,,theo quyết định của,phr
EN,bound,,bắt buộc; buộc phải,adj
EN,circumscribe,,giới hạn; hạn chế,v
EN,enactment,,sự ban hành,n
EN,impeccable,,hoàn hảo; không tì vết,adj
EN,infringement,,sự vi phạm; xâm phạm,n
EN,legitimate,,hợp pháp; chính đáng,adj
EN,petition,,lời thỉnh cầu; kiến nghị,n
EN,when it comes to,,khi nói đến; khi xem xét đến,phr
EN,bakery,,tiệm bánh; lò bánh mỳ,n
EN,best-selling,,bán chạy nhất,adj
EN,cashier,,nhân viên thu ngân,n
EN,clothing,,quần áo; y phục,n
EN,corner,,góc; lối rẽ,n
EN,costume,,trang phục,n
EN,free,,rảnh rỗi; tự do; miễn phí,adj
EN,label,,nhãn; nhãn hiệu,n
EN,necklace,,vòng cổ,n
EN,photography equipment,,thiết bị chụp ảnh,phr
EN,shelf,,giá; kệ,n
EN,shop,,cửa hàng; của hiệu,n
EN,shopper,,người mua hàng,n
EN,size,,kích cỡ; kích thước,n
EN,sunglasses,,kính râm,n
EN,supermarket,,siêu thị,n
EN,basis,,nền tảng; cơ sở,n
EN,brand,,thương hiệu,n
EN,department store,,cửa hàng bách hóa; trung tâm thương mại,phr
EN,discount store,,cửa hàng giảm giá,phr
EN,display,,trưng bày; biểu lộ,v
EN,fit,,hợp; xứng; ăn khớp,v
EN,fully,,đầy,adv
EN,grocery,,cửa hàng tạp hóa,n
EN,keep,,giữ; bảo quản; chăm sóc,v
EN,store,,cửa hàng,n
EN,tax,,thuế,n
EN,at the moment,,vào thời điểm hiện tại,phr
EN,celebrate,,kỷ niệm; làm lễ kỷ niệm,v
EN,decorative item,,đồ trang trí,phr
EN,discounted coupon,,phiếu giảm giá,phr
EN,for sale,,(có sẵn) để bán,phr
EN,half price,,nửa giá,phr
EN,have A strapped to one's shoulder,,gánh vác A trên vai,phr
EN,instead,,thay vì,adv
EN,make a purchase,,mua hàng,phr
EN,make no difference,,không có sự khác biệt,phr
EN,make payment,,thanh toán,phr
EN,Not that I'm aware of.,,Đó không phải là những gì mà tôi biết,phr
EN,out of town,,đi vắng,phr
EN,overcoat,,áo măng tô; áo choàng,n
EN,pay in cash,,thanh toán bằng tiền mặt,phr
EN,put out for display,,đưa ra trưng bày,phr
EN,shoelace,,dây giày,n
EN,shopkeeper,,người chủ hiệu,n
EN,showroom,,phòng trưng bày (hàng hóa),n
EN,sleeve,,tay áo,n
EN,souvenir,,đồ lưu niệm; vật kỷ niệm,n
EN,stack,,cụm; chùm; đống,n
EN,stand in line,,xếp hàng,phr
EN,storefront,,mặt trước cửa hàng,n
EN,stylish,,hợp thời trang; kiểu cách,adj
EN,tag,,nhãn; mác; thẻ tên,n
EN,take the order,,nhận đơn đặt hàng,phr
EN,try on,,mặc thử; đi thử; mang thử,phr
EN,underline,,gạch chân; nhấn mạnh,v
EN,watch band,,dây đeo đồng hồ,phr
EN,window-shopping,,việc xem hàng hóa nhưng không mua,n
EN,afford to do,,đủ sức; đủ khả năng làm gì,phr
EN,apparel,,trang phục; quần áo,n
EN,dairy products,,các sản phẩm từ sữa,phr
EN,elsewhere,,ở nơi nào khác; đầu đó,adv
EN,gift certificate,,phiếu qua tặng,phr
EN,glassware,,đồ thủy tinh,n
EN,inexpensive,,rẻ; không đắt,adj
EN,lately,,gần đây,adv
EN,latest,,mới nhất,adj
EN,luxury,,sự xa xỉ; hàng xa xỉ,n
EN,outerwear,,áo khoác ngoài,n
EN,outlet,,cửa hàng đại lý; lối thoát; lối ra,n
EN,portable,,có thể mang theo; xách tay,adj
EN,readership,,(cộng đồng) độc giả,n
EN,readily,,sẵn sàng; sẵn lòng,adv
EN,refundable,,có thể hoàn trả,adj
EN,value,,giá trị; giá cả,n
EN,a selection of,,bộ sưu tập,phr
EN,a variety of (= various),,nhiều,phr
EN,at a discounted price,,với gia chiết khấu,phr
EN,by check,,bằng séc,phr
EN,by credit card,,bang the tin dung,phr
EN,by no means,,không chút nào; hoàn toàn không,phr
EN,extra charge,,phụ phí,phr
EN,get in line,,xếp hàng,phr
EN,give a discount,,giảm giả,phr
EN,in cash,,bằng tiền mặt,phr
EN,merchandise,,hàng hóa,n
EN,no later than,,muộn nhất là,phr
EN,showcase,,buổi biểu diễn giới thiệu,n
EN,textile,,vải dệt; đồ dệt may,n
EN,thrifty,,tiết kiệm; tần tiện,adj
EN,under warranty,,trong thời gian bảo hành,phr
EN,valid for,,hợp lệ cho; có hiệu lực với,phr
EN,voucher,,phiếu quà tặng (đã được thanh toán trước),n
EN,wholesale,,bán buôn; bán sỉ,adj
EN,wrap a present,,gói quà,phr
EN,automotive repair shop,,xưởng sửa chữa ô tô,phr
EN,awning,,tấm vải bạt; mái hiên,n
EN,cash register,,máy đếm tiền,phr
EN,cooking utensil (=cookware),,dụng cụ nấu ăn,phr
EN,display case,,kệ trưng bày,phr
EN,garment,,quần áo; đồ may mặc,n
EN,look different,,nhìn khác biệt,phr
EN,tailor,,thợ may,n
EN,wind a watch,,lên dây đồng hồ,phr
EN,collectable,,có thể sưu tầm được;đáng được sưu tầm,adj
EN,conversely,,ngược lại; đảo lại,adv
EN,dilute,,loãng; nhạt đi; giảm bớt,v
EN,exposition,,sự phơi bày; sự bộc lộ,n
EN,generic,,có đặc điểm giống loài; (thuộc) giống loài,n
EN,high-end,,cao cấp,adj
EN,merchant,,buôn; buôn bán,adj
EN,observably,,đáng chú ý; đáng kể,adv
EN,predictably,,có thể dự báo; đoán trước,adv
EN,secondhand,,cũ; dùng lại (đồ vật),adj
EN,stylishly,,hợp thời trang; kiểu cách,adv
EN,at a substantial discount,,mức giảm giá đáng kể,phr
EN,bargain over prices,,mặc cả về giá,phr
EN,business hours,,giờ làm việc,phr
EN,cast,,vào val,v
EN,CEO (chief executive officer),,giám đốc điều hành,n
EN,enterprise,,doanh nghiệp,n
EN,firm,,hãng; công ty,n
EN,franchise,,nhượng quyền kinh doanh,n
EN,nice-looking,,bắt mắt,adj
EN,plenty,,sự phong phú; sung túc,n
EN,speed up,,tăng tốc,phr
EN,trading,,sự kinh doanh; việc mua bán,n
EN,beginning,,sự khởi đầu,n
EN,contribution to,,sự đóng góp cho,phr
EN,convenient,,thuận lợi; tiện lợi,adj
EN,differently,,khác; khác biệt,adv
EN,economy,,nền kinh tế,n
EN,formally,,chính thức; trang trọng,adv
EN,industrial,,(thuộc) công nghiệp,adj
EN,lightly,,nhẹ nhàng,adv
EN,merge,,kết hợp; hợp nhất,v
EN,not A but B,,không phải A mà là B,phr
EN,optimistic,,lạc quan,adj
EN,overall,,toàn bộ; toàn thể,adj
EN,possibility,,khả năng,n
EN,private,,riêng tư; cá nhân,adj
EN,rise,,tăng lên; đứng lên,v
EN,situation,,tình huống,n
EN,strengthen,,củng cố; tăng cường,v
EN,up-and-down,,không ổn định; thăng trầm,adj
EN,blueprint,,bản thiết kế; bản kế hoạch,n
EN,business deal,,thỏa thuận kinh doanh,phr
EN,family-run,,(công ty) do gia đình điều hành,adj
EN,fluctuation,,sự dao động,n
EN,for business,,cho doanh nghiệp/Việc kinh doanh,phr
EN,foreign trade,,ngoại thương,phr
EN,go into business,,bắt đầu kinh doanh,phr
EN,go out of business,,dừng kinh doanh,phr
EN,mutual,,lẫn nhau; qua lại,adj
EN,nationwide,,toàn quốc,adj
EN,need monitoring,,cần theo dõi,phr
EN,neighboring,,lân cận; gần kề,adj
EN,real estate sale,,kinh doanh bất động sản,phr
EN,recession,,tình trạng suy thoái,n
EN,relieve pain,,giảm đau,phr
EN,role model,,người tiêu biểu; tấm gương,phr
EN,session,,phiên họp; kỳ họp,n
EN,unplug,,rút/thảo (phích cắm); tháo nút,v
EN,worsen,,trở nên tồi tệ hơn,v
EN,accumulation,,sự tích lũy,n
EN,ascend,,đi lên; tăng dần,v
EN,commerce,,thương mại,n
EN,indifferent,,lãnh đạm; trung lập; bình thường,adj
EN,prolong,,gia hạn; kéo dài,v
EN,relevantly,,liên quan; thích hợp,adv
EN,stimulate,,thúc đẩy; khuyến khích,v
EN,supplement,,bổ sung,v
EN,tedious,,chán ngắt; nhạt nhẽo,adj
EN,unavoidable,,tất yếu; không thể tránh khỏi,adj
EN,be related to,,có liên quan đến,phr
EN,bring in,,mang lại,phr
EN,brokerage,,sự môi giới; nghề môi giới,n
EN,business management,,quản trị kinh doanh,phr
EN,business practice,,thực tiễn kinh doanh,phr
EN,collapse,,sự sụp đổ; sự sụt giả,n
EN,cope with,,đương đầu; đối phó với,phr
EN,cost-effective,,mang lại lợi nhuận; sinh lời,adj
EN,descending,,giảm xuống,adj
EN,dominate,,chi phối; lấn át; thống trị,n
EN,downturn,,sự suy sụp; sự suy thoái,n
EN,entail,,đòi hỏi; bắt phải,v
EN,exchange rate,,tỷ giá hối đoái,phr
EN,flourish,,phát đạt; phát triển,v
EN,for large purchases.,,với những khoản mua lớn,phr
EN,for the benefit of,,vì lợi ích của,phr
EN,foremost,,đầu tiên; trước nhất,adj
EN,forerunner,,người tiên phong; người mở đường,n
EN,from around the globe,,từ khắp nơi trên thế giới,phr
EN,infrastructure,,cơ sở hạ tầng,n
EN,marketable,,có thể bán được; dễ tiêu thụ,adj
EN,multinational corporation,,tập đoàn đa quốc gia,phr
EN,multi-regional,,đa vùng,adj
EN,nationality,,quốc tịch,n
EN,net income,,lợi nhuận ròng; thu nhập ròng,phr
EN,penalize,,phạt,v
EN,put forth,,đưa ra; đề xuất,phr
EN,ratio,,tỷ số; tỷ lệ,n
EN,set up,,thành lập; thiết lập,phr
EN,skyrocket,,tăng vọt (giá cả),v
EN,so far (= to date),,cho đến nay,phr
EN,surge,,dâng lên; dấy lên,v
EN,synergy,,sự hợp lực,n
EN,synthesis,,sự tổng hợp,n
EN,tactics,,chiến thuật; chiến lược,n
EN,unemployment.,,sự thất nghiệp; nạn thất nghiệp,n
EN,variable,,có thể thay đổi; hay thay đổi,adj
EN,vicious cycle,,vòng luẩn quẩn,phr
EN,without a doubt,,chắc chắn; không chút nghi ngờ,phr
EN,billing address,,địa chỉ thanh toán,phr
EN,government grant,,trợ cấp của chính phủ,phr
EN,market value.,,giá thị trường,phr
EN,pull down,,phá hủy; hạ xuống,phr
EN,stationary,,tĩnh; không di chuyển,adj
EN,abate,,hạ; bớt; làm dịu,v
EN,cease,,dừng; ngừng,v
EN,conspicuously,,dễ thấy; rõ ràng,adv
EN,deteriorate,,làm hỏng; làm giảm giá trị,v
EN,implicitly,,hoàn toàn,adv
EN,leisurely,,rỗi rãi; thong thả,adj
EN,menace,,đe doạ,v
EN,perceptible,,có thể nhận ra; có thể cảm thấy,adj
EN,placement,,sự bố trí; sự sắp đặt,n
EN,remark,,chú ý; nhận thấy,v
EN,retrieval,,sự thu hồi; sự phục hồi,n
EN,slowdown,,sự chậm lại; sự suy thoái,n
EN,solitary,,một mình; đơn độc,adj
EN,ailing,,ốm yếu; khó khăn,adj
EN,financial statement,,báo cáo tài chính,phr
EN,have a monopoly on,,độc quyền về,phr
EN,in demand,,có nhu cầu; được đòi hỏi nhiều,phr
EN,multilateral,,nhiều phía; đa phương,adj
EN,nontransferable,,không thể chuyển nhượng,adj
